sortie,model,origin,destination,load_kg,start_s,end_s,energy_kwh,distance,cruise_z,climb,descent,cells,dem_max
Q2-007,C,S001,O01,0,1380.2695386645796,1692.1690773291593,0.963245909744215,3053.9788435184996,273.0566101074219,89.05661010742188,145.3566101074219,138,223.05661010742188
Q2-008,C,O01,S001,78,480.0,786.2695386645796,2.0325233529785582,3053.9788435184996,273.0566101074219,145.3566101074219,89.05661010742188,138,223.05661010742188
Q2-008,C,S001,O01,0,1182.2695386645796,1494.1690773291593,0.963245909744215,3053.9788435184996,273.0566101074219,89.05661010742188,145.3566101074219,138,223.05661010742188
Q2-009,A,O01,S009,11,1583.0,2138.8966159156644,1.1413314133498977,5705.144962277037,293.2289123535156,165.52891235351564,63.228912353515625,255,243.22891235351562
Q2-009,A,S009,S012,3,2318.8966159156644,2642.70948746116,0.5757433390591246,2972.7018315928194,360.91961669921875,130.91961669921875,81.11961669921874,110,310.91961669921875
Q2-009,A,S012,O01,0,2822.70948746116,3597.324524282884,1.3656569963949532,7390.491686977874,413.3009948730469,133.50099487304686,285.6009948730469,356,363.3009948730469
Q2-010,C,O01,S002,59,1975.0,2586.3161924076303,3.5490031639191337,7411.310455084183,308.9542541503906,181.25425415039064,89.45425415039062,325,258.9542541503906
Q2-010,C,S002,O01,0,2982.3161924076303,3602.812384815261,2.304068526247495,7411.310455084183,308.9542541503906,89.45425415039062,181.25425415039064,325,258.9542541503906
Q2-011,B,O01,S007,25,1901.0,2396.7776994902124,1.0920272168365286,4534.460566816074,511.9731750488281,384.27317504882814,163.47317504882812,215,461.9731750488281
Q2-011,B,S007,O01,0,2636.7776994902124,3147.275398980424,0.6879956172661189,4534.460566816074,511.9731750488281,163.47317504882812,384.27317504882814,215,461.9731750488281
Q2-012,B,O01,S007,20,1916.0,2411.7776994902124,0.9684982011624914,4534.460566816074,511.9731750488281,384.27317504882814,163.47317504882812,215,461.9731750488281
Q2-012,B,S007,O01,0,2621.7776994902124,3132.275398980424,0.6879956172661189,4534.460566816074,511.9731750488281,163.47317504882812,384.27317504882814,215,461.9731750488281
Q2-013,A,O01,S002,22,2049.0,2762.8089909673017,1.6609558874943249,7411.310455084183,308.9542541503906,181.25425415039064,89.45425415039062,325,258.9542541503906
Q2-013,A,S002,O01,0,2972.8089909673017,3692.7379819346033,1.357735047164024,7411.310455084183,308.9542541503906,89.45425415039062,181.25425415039064,325,258.9542541503906
Q2-014,C,O01,S006,59,2173.0,2506.4219339808324,1.6040451674359941,3186.208178413656,366.09783935546875,238.39783935546876,51.29783935546874,118,316.09783935546875
Q2-014,C,S006,O01,0,2902.4219339808324,3254.5538679616648,0.9939426974761897,3186.208178413656,366.09783935546875,51.29783935546874,238.39783935546876,118,316.09783935546875
Q2-015,A,O01,S012,22,2405.0,3169.4750368217237,1.6928004130559553,7390.491686977874,413.3009948730469,285.6009948730469,133.50099487304686,356,363.3009948730469
Q2-015,A,S012,O01,0,3379.4750368217237,4154.090073643448,1.3656569963949532,7390.491686977874,413.3009948730469,133.50099487304686,285.6009948730469,356,363.3009948730469
Q2-016,A,O01,S011,22,3201.0,3524.1981399956057,0.6637866735102959,2808.074232681646,295.36175537109375,167.66175537109376,83.26175537109376,125,245.36175537109375
Q2-016,A,S011,S014,8,3704.1981399956057,4540.690408442215,1.4511758199361484,7127.719086593689,618.5668334960938,406.4668334960937,267.56683349609375,327,568.5668334960938
Q2-016,A,S014,O01,0,4720.690408442215,5438.3386476032065,1.0393626597601442,5419.60185821314,591.9473876953125,240.9473876953125,464.2473876953125,205,541.9473876953125
Q2-017,B,O01,S008,25,3523.0,4184.142384496832,1.7959739347412533,8079.033112423187,372.9093322753906,245.20933227539064,102.00933227539065,323,322.9093322753906
Q2-017,B,S008,O01,0,4424.142384496832,5094.831435660331,1.1792425916269136,8079.033112423187,372.9093322753906,102.00933227539065,245.20933227539064,323,322.9093322753906
Q2-018,B,O01,S015,25,3538.0,4125.578318713488,1.4250332501134857,6009.38297162029,571.7992553710938,444.09925537109376,97.29925537109375,288,521.7992553710938
