sortie,time_s,mode,relay,lon,lat,altitude_m
Q2-016,5192.386505044147,relay,R01,109.19614126226685,23.02629301502707,561.8041381835938
Q2-016,5193.385657407573,relay,R01,109.19603892468454,23.02634544657365,561.8041381835938
Q2-016,5194.384809770998,relay,R01,109.19593658710222,23.026397878120232,561.8041381835938
Q2-016,5195.383962134423,relay,R01,109.19583424951992,23.026450309666814,561.8041381835938
Q2-016,5196.3831144978485,relay,R01,109.1957319119376,23.026502741213392,561.8041381835938
Q2-016,5197.382266861274,relay,R01,109.1956295743553,23.026555172759974,561.8041381835938
Q2-016,5198.381419224699,relay,R01,109.19552723677299,23.026607604306555,561.8041381835938
Q2-016,5199.380571588124,relay,R01,109.19542489919067,23.026660035853137,561.8041381835938
Q2-016,5200.37972395155,relay,R01,109.19532256160836,23.02671246739972,561.8041381835938
Q2-016,5201.378876314975,relay,R01,109.19522022402604,23.0267648989463,561.8041381835938
Q2-016,5202.3780286784,relay,R01,109.19511788644374,23.026817330492882,561.8041381835938
Q2-016,5203.377181041825,relay,R01,109.19501554886143,23.026869762039464,561.8041381835938
Q2-016,5204.37633340525,relay,R01,109.19491321127911,23.026922193586042,561.8041381835938
Q2-016,5205.375485768675,relay,R01,109.19481087369681,23.026974625132624,561.8041381835938
Q2-016,5206.374638132101,relay,R01,109.19470853611449,23.027027056679206,561.8041381835938
Q2-016,5207.373790495526,relay,R01,109.19460619853218,23.027079488225787,561.8041381835938
Q2-016,5208.372942858951,relay,R01,109.19450386094988,23.02713191977237,561.8041381835938
Q2-016,5209.372095222377,relay,R01,109.19440152336756,23.02718435131895,561.8041381835938
Q2-016,5210.371247585802,relay,R01,109.19429918578525,23.027236782865533,561.8041381835938
Q2-016,5211.370399949227,relay,R01,109.19419684820294,23.027289214412114,561.8041381835938
Q2-016,5212.369552312653,relay,R01,109.19409451062063,23.027341645958693,561.8041381835938
Q2-016,5213.368704676077,relay,R01,109.19399217303832,23.027394077505274,561.8041381835938
Q2-016,5214.367857039502,relay,R01,109.193889835456,23.027446509051856,561.8041381835938
Q2-016,5215.367009402928,relay,R01,109.1937874978737,23.027498940598438,561.8041381835938
Q2-016,5216.366161766353,relay,R01,109.19368516029138,23.02755137214502,561.8041381835938
Q2-016,5217.365314129778,relay,R01,109.19358282270908,23.0276038036916,561.8041381835938
Q2-016,5218.3644664932035,relay,R01,109.19348048512676,23.027656235238183,561.8041381835938
Q2-016,5219.363618856629,relay,R01,109.19337814754445,23.02770866678476,561.8041381835938
