sortie,time_s,lon,lat,altitude_m
Q2-011,2332.4532696964848,109.19457230892613,23.02845474213182,511.9731750488281
Q2-011,2352.28437777727,109.1928191,23.0294186,497.23331060588714
Q2-011,2372.115485858055,109.1928191,23.0294186,447.6555404039251
Q2-011,2391.94659393884,109.1928191,23.0294186,398.0777702019619
Q2-011,2411.777702019625,109.1928191,23.0294186,348.5
Q2-011,2430.868611110534,109.1928191,23.0294186,348.5
Q2-011,2449.959520201443,109.1928191,23.0294186,348.5
Q2-011,2469.0504292923524,109.1928191,23.0294186,348.5
Q2-011,2488.1413383832614,109.1928191,23.0294186,348.5
Q2-011,2507.2322474741704,109.1928191,23.0294186,348.5
Q2-011,2526.3231565650794,109.1928191,23.0294186,348.5
Q2-011,2545.4140656559885,109.1928191,23.0294186,348.5
Q2-011,2564.5049747468975,109.1928191,23.0294186,348.5
Q2-011,2583.595883837807,109.1928191,23.0294186,348.5
Q2-011,2602.686792928716,109.1928191,23.0294186,348.5
Q2-011,2621.777702019625,109.1928191,23.0294186,348.5
Q2-011,2641.4122290203795,109.1928191,23.0294186,407.40358100226376
Q2-011,2661.0467560211346,109.1928191,23.0294186,466.3071620045289
Q2-011,2680.681283021889,109.19337424775736,23.029113397621686,511.9731750488281
Q2-011,2700.315810022644,109.1958445044539,23.027755329956214,511.9731750488281
Q2-012,2396.9577921806494,109.24668713861061,23.043848913067595,308.9542541503906
Q2-012,2416.6776695240187,109.2477927012717,23.04631615988743,308.9542541503906
Q2-012,2436.397546867388,109.2488982639328,23.048783406707262,308.9542541503906
Q2-012,2456.1174242107577,109.25000382659391,23.0512506535271,308.9542541503906
Q2-012,2475.837301554127,109.251109389255,23.053717900346932,308.9542541503906
Q2-012,2495.557178897496,109.2522149519161,23.05618514716677,308.9542541503906
Q2-012,2515.277056240866,109.2533205145772,23.058652393986602,308.9542541503906
Q2-012,2534.996933584235,109.2544260772383,23.06111964080644,308.9542541503906
Q2-012,2554.7168109276045,109.2555316398994,23.063586887626272,308.9542541503906
Q2-012,2574.4366882709737,109.2566372025605,23.066054134446105,308.9542541503906
Q2-012,2594.1565656143434,109.25774276522161,23.068521381265942,308.9542541503906
Q2-012,2613.876442957713,109.2585519,23.0703271,298.37950937347716
Q2-012,2633.5963203010824,109.2585519,23.0703271,258.93975468673875
Q2-012,2653.3161976444517,109.2585519,23.0703271,219.50000000000023
Q2-012,2673.116197644452,109.2585519,23.0703271,219.5
Q2-012,2692.9161976444516,109.2585519,23.0703271,219.5
Q2-012,2712.7161976444518,109.2585519,23.0703271,219.5
Q2-012,2732.5161976444515,109.2585519,23.0703271,219.5
Q2-012,2752.3161976444517,109.2585519,23.0703271,219.5
Q2-012,2772.116197644452,109.2585519,23.0703271,219.5
Q2-012,2791.9161976444516,109.2585519,23.0703271,219.5
Q2-012,2811.7161976444518,109.2585519,23.0703271,219.5
Q2-012,2831.5161976444515,109.2585519,23.0703271,219.5
Q2-012,2851.3161976444517,109.2585519,23.0703271,219.5
Q2-012,2871.116197644452,109.2585519,23.0703271,219.5
Q2-012,2890.9161976444516,109.2585519,23.0703271,219.5
Q2-012,2910.7161976444518,109.2585519,23.0703271,219.5
Q2-012,2930.5161976444515,109.2585519,23.0703271,219.5
Q2-012,2950.3161976444517,109.2585519,23.0703271,219.5
Q2-012,2970.116197644452,109.2585519,23.0703271,219.5
Q2-012,2989.9161976444516,109.2585519,23.0703271,219.5
Q2-012,3009.7161976444518,109.2585519,23.0703271,219.5
Q2-012,3029.5161976444515,109.2585519,23.0703271,219.5
Q2-012,3049.3161976444517,109.2585519,23.0703271,219.5
Q2-012,3068.7067038208406,109.2585519,23.0703271,267.9762654409724
Q2-012,3088.09720999723,109.25838374855296,23.0699518420996,308.9542541503906
Q2-012,3107.487716173619,109.25729665154748,23.06752580445922,308.9542541503906
Q2-012,3126.8782223500084,109.256209554542,23.06509976681884,308.9542541503906
Q2-012,3146.2687285263974,109.25512245753652,23.06267372917846,308.9542541503906
Q2-012,3165.6592347027863,109.25403536053103,23.06024769153808,308.9542541503906
Q2-012,3185.0497408791757,109.25294826352555,23.0578216538977,308.9542541503906
Q2-012,3204.4402470555647,109.25186116652007,23.05539561625732,308.9542541503906
Q2-012,3223.8307532319536,109.25077406951459,23.052969578616942,308.9542541503906
Q2-012,3243.221259408343,109.24968697250911,23.050543540976562,308.9542541503906
Q2-012,3262.611765584732,109.24859987550363,23.048117503336183,308.9542541503906
Q2-012,3282.002271761121,109.24751277849815,23.045691465695803,308.9542541503906
Q2-012,3301.3927779375103,109.24642568149267,23.043265428055424,308.9542541503906
Q2-013,2445.5605541740715,109.24592792209087,23.04215459522403,308.9542541503906
Q2-013,2465.388581882775,109.24681722283839,23.044139217641547,308.9542541503906
Q2-013,2485.2166095914786,109.2477065235859,23.046123840059064,308.9542541503906
Q2-013,2505.044637300182,109.24859582433342,23.048108462476577,308.9542541503906
Q2-013,2524.8726650088856,109.24948512508094,23.050093084894094,308.9542541503906
Q2-013,2544.7006927175894,109.25037442582845,23.05207770731161,308.9542541503906
Q2-013,2564.5287204262927,109.25126372657597,23.054062329729128,308.9542541503906
