rho,area,model,max_safe_kg
0.06,S008,C,75.10735739953816
0.06,S009,A,25.0
0.06,S009,B,30.0
0.06,S009,C,80.0
0.06,S010,A,25.0
0.06,S010,B,30.0
0.06,S010,C,80.0
0.06,S011,A,25.0
0.06,S011,B,30.0
0.06,S011,C,80.0
0.06,S012,A,25.0
0.06,S012,B,30.0
0.06,S012,C,80.0
0.06,S013,A,25.0
0.06,S013,B,30.0
0.06,S013,C,80.0
0.06,S014,A,25.0
0.06,S014,B,30.0
0.06,S014,C,80.0
0.06,S015,A,25.0
0.06,S015,B,30.0
0.06,S015,C,80.0
0.07,S001,A,25.0
0.07,S001,B,30.0
0.07,S001,C,80.0
0.07,S002,A,25.0
0.07,S002,B,30.0
0.07,S002,C,80.0
0.07,S003,A,25.0
0.07,S003,B,30.0
0.07,S003,C,80.0
0.07,S004,A,25.0
0.07,S004,B,30.0
0.07,S004,C,77.41964906454086
0.07,S005,A,25.0
0.07,S005,B,30.0
0.07,S005,C,80.0
0.07,S006,A,25.0
0.07,S006,B,30.0
0.07,S006,C,80.0
0.07,S007,A,25.0
0.07,S007,B,30.0
0.07,S007,C,80.0
0.07,S008,A,25.0
0.07,S008,B,30.0
0.07,S008,C,74.2432055901736
0.07,S009,A,25.0
0.07,S009,B,30.0
0.07,S009,C,80.0
0.07,S010,A,25.0
0.07,S010,B,30.0
0.07,S010,C,80.0
0.07,S011,A,25.0
0.07,S011,B,30.0
0.07,S011,C,80.0
0.07,S012,A,25.0
0.07,S012,B,30.0
0.07,S012,C,80.0
0.07,S013,A,25.0
0.07,S013,B,30.0
0.07,S013,C,80.0
0.07,S014,A,25.0
0.07,S014,B,30.0
0.07,S014,C,80.0
0.07,S015,A,25.0
0.07,S015,B,30.0
0.07,S015,C,80.0
0.08,S001,A,25.0
0.08,S001,B,30.0
0.08,S001,C,80.0
0.08,S002,A,25.0
0.08,S002,B,30.0
0.08,S002,C,80.0
0.08,S003,A,25.0
0.08,S003,B,30.0
0.08,S003,C,79.79162136092782
0.08,S004,A,25.0
0.08,S004,B,30.0
0.08,S004,C,76.60668801516294
0.08,S005,A,25.0
0.08,S005,B,30.0
0.08,S005,C,80.0
0.08,S006,A,25.0
0.08,S006,B,30.0
0.08,S006,C,80.0
0.08,S007,A,25.0
0.08,S007,B,30.0
0.08,S007,C,80.0
0.08,S008,A,25.0
0.08,S008,B,30.0
0.08,S008,C,73.34506536833942
0.08,S009,A,25.0
0.08,S009,B,30.0
0.08,S009,C,80.0
0.08,S010,A,25.0
0.08,S010,B,30.0
0.08,S010,C,80.0
0.08,S011,A,25.0
0.08,S011,B,30.0
0.08,S011,C,80.0
0.08,S012,A,25.0
0.08,S012,B,30.0
0.08,S012,C,79.64470477774739
0.08,S013,A,25.0
0.08,S013,B,30.0
0.08,S013,C,80.0
0.08,S014,A,25.0
0.08,S014,B,30.0
0.08,S014,C,80.0
0.08,S015,A,25.0
0.08,S015,B,30.0
0.08,S015,C,80.0
0.09,S001,A,25.0
0.09,S001,B,30.0
0.09,S001,C,80.0
0.09,S002,A,25.0
0.09,S002,B,30.0
0.09,S002,C,79.36709993518889
0.09,S003,A,25.0
0.09,S003,B,30.0
0.09,S003,C,79.02613657526672
0.09,S004,A,25.0
0.09,S004,B,30.0
0.09,S004,C,75.7622023485601
0.09,S005,A,25.0
0.09,S005,B,30.0
0.09,S005,C,80.0
0.09,S006,A,25.0
0.09,S006,B,30.0
0.09,S006,C,80.0
0.09,S007,A,25.0
0.09,S007,B,30.0
0.09,S007,C,80.0
0.09,S008,A,25.0
0.09,S008,B,30.0
0.09,S008,C,72.41082672961056
0.09,S009,A,25.0
0.09,S009,B,30.0
0.09,S009,C,80.0
0.09,S010,A,25.0
0.09,S010,B,30.0
0.09,S010,C,80.0
0.09,S011,A,25.0
0.09,S011,B,30.0
0.09,S011,C,80.0
0.09,S012,A,25.0
0.09,S012,B,30.0
0.09,S012,C,78.88283256441355
0.09,S013,A,25.0
0.09,S013,B,30.0
0.09,S013,C,80.0
0.09,S014,A,25.0
0.09,S014,B,30.0
0.09,S014,C,80.0
0.09,S015,A,25.0
0.09,S015,B,30.0
0.09,S015,C,80.0
0.1,S001,A,25.0
0.1,S001,B,30.0
0.1,S001,C,80.0
0.1,S002,A,25.0
0.1,S002,B,30.0
0.1,S002,C,78.59389587305486
0.1,S003,A,25.0
0.1,S003,B,30.0
0.1,S003,C,78.23137502186
0.1,S004,A,25.0
0.1,S004,B,30.0
0.1,S004,C,74.88427573814988
0.1,S005,A,25.0
0.1,S005,B,30.0
0.1,S005,C,80.0
0.1,S006,A,25.0
0.1,S006,B,30.0
0.1,S006,C,80.0
0.1,S007,A,25.0
0.1,S007,B,30.0
0.1,S007,C,80.0
0.1,S008,A,25.0
0.1,S008,B,30.0
0.1,S008,C,71.43819364719093
0.1,S009,A,25.0
0.1,S009,B,30.0
0.1,S009,C,80.0
0.1,S010,A,25.0
0.1,S010,B,30.0
0.1,S010,C,80.0
0.1,S011,A,25.0
0.1,S011,B,30.0
0.1,S011,C,80.0
0.1,S012,A,25.0
0.1,S012,B,30.0
0.1,S012,C,78.09189213439822
0.1,S013,A,25.0
0.1,S013,B,30.0
0.1,S013,C,80.0
0.1,S014,A,25.0
0.1,S014,B,30.0
0.1,S014,C,80.0
0.1,S015,A,25.0
0.1,S015,B,30.0
0.1,S015,C,80.0
0.11,S001,A,25.0
0.11,S001,B,30.0
0.11,S001,C,80.0
0.11,S002,A,25.0
0.11,S002,B,30.0
0.11,S002,C,77.79081795364618
0.11,S003,A,25.0
0.11,S003,B,30.0
0.11,S003,C,77.40560154430568
0.11,S004,A,25.0
0.11,S004,B,30.0
0.11,S004,C,73.97082784213126
0.11,S005,A,25.0
0.11,S005,B,30.0
0.11,S005,C,80.0
0.11,S006,A,25.0
0.11,S006,B,30.0
0.11,S006,C,80.0
0.11,S007,A,25.0
0.11,S007,B,30.0
0.11,S007,C,80.0
0.11,S008,A,25.0
0.11,S008,B,30.0
0.11,S008,C,70.42466191574931
0.11,S009,A,25.0
0.11,S009,B,30.0
0.11,S009,C,80.0
0.11,S010,A,25.0
0.11,S010,B,30.0
0.11,S010,C,80.0
0.11,S011,A,25.0
0.11,S011,B,30.0
0.11,S011,C,80.0
0.11,S012,A,25.0
0.11,S012,B,30.0
0.11,S012,C,77.27015430107713
0.11,S013,A,25.0
0.11,S013,B,30.0
0.11,S013,C,80.0
0.11,S014,A,25.0
0.11,S014,B,30.0
0.11,S014,C,80.0
0.11,S015,A,25.0
0.11,S015,B,30.0
0.11,S015,C,80.0
0.12,S001,A,25.0
0.12,S001,B,30.0
0.12,S001,C,80.0
0.12,S002,A,25.0
0.12,S002,B,30.0
0.12,S002,C,76.95605795830488
0.12,S003,A,25.0
0.12,S003,B,30.0
0.12,S003,C,76.54693812131882
0.12,S004,A,25.0
0.12,S004,B,30.0
0.12,S004,C,73.01959559321404
0.12,S005,A,25.0
0.12,S005,B,30.0
0.12,S005,C,80.0
0.12,S006,A,25.0
0.12,S006,B,30.0
0.12,S006,C,80.0
0.12,S007,A,25.0
0.12,S007,B,30.0
0.12,S007,C,80.0
0.12,S008,A,25.0
0.12,S008,B,30.0
0.12,S008,C,69.36749355867505
0.12,S009,A,25.0
0.12,S009,B,30.0
0.12,S009,C,80.0
0.12,S010,A,25.0
0.12,S010,B,30.0
0.12,S010,C,80.0
0.12,S011,A,25.0
0.12,S011,B,30.0
0.12,S011,C,80.0
0.12,S012,A,25.0
0.12,S012,B,30.0
0.12,S012,C,76.41574610956013
0.12,S013,A,25.0
0.12,S013,B,30.0
0.12,S013,C,80.0
0.12,S014,A,25.0
0.12,S014,B,30.0
0.12,S014,C,80.0
0.12,S015,A,25.0
0.12,S015,B,30.0
0.12,S015,C,80.0
0.13,S001,A,25.0
0.13,S001,B,30.0
0.13,S001,C,80.0
0.13,S002,A,25.0
0.13,S002,B,30.0
0.13,S002,C,76.08765392564237
0.13,S003,A,25.0
0.13,S003,B,30.0
0.13,S003,C,75.6533483415842
0.13,S004,A,25.0
0.13,S004,B,30.0
0.13,S004,C,72.02811168506742
0.13,S005,A,25.0
0.13,S005,B,30.0
0.13,S005,C,80.0
0.13,S006,A,25.0
0.13,S006,B,30.0
0.13,S006,C,80.0
0.13,S007,A,25.0
0.13,S007,B,30.0
0.13,S007,C,80.0
0.13,S008,A,25.0
0.13,S008,B,30.0
0.13,S008,C,68.26368714682758
0.13,S009,A,25.0
0.13,S009,B,30.0
0.13,S009,C,80.0
0.13,S010,A,25.0
0.13,S010,B,30.0
0.13,S010,C,80.0
0.13,S011,A,25.0
0.13,S011,B,30.0
0.13,S011,C,80.0
0.13,S012,A,25.0
0.13,S012,B,30.0
0.13,S012,C,75.52663499489427
0.13,S013,A,25.0
0.13,S013,B,30.0
0.13,S013,C,80.0
0.13,S014,A,25.0
0.13,S014,B,30.0
0.13,S014,C,80.0
0.13,S015,A,25.0
0.13,S015,B,30.0
0.13,S015,C,80.0
0.14,S001,A,25.0
0.14,S001,B,30.0
0.14,S001,C,80.0
0.14,S002,A,25.0
0.14,S002,B,30.0
0.14,S002,C,75.18347278237343
0.14,S003,A,25.0
0.14,S003,B,30.0
0.14,S003,C,74.72261982038617
0.14,S004,A,25.0
0.14,S004,B,30.0
0.14,S004,C,70.9936797618866
0.14,S005,A,25.0
0.14,S005,B,30.0
0.14,S005,C,80.0
0.14,S006,A,25.0
0.14,S006,B,30.0
0.14,S006,C,80.0
0.14,S007,A,25.0
0.14,S007,B,30.0
0.14,S007,C,80.0
0.14,S008,A,25.0
0.14,S008,B,30.0
0.14,S008,C,67.10994310677052
0.14,S009,A,25.0
0.14,S009,B,30.0
0.14,S009,C,80.0
0.14,S010,A,25.0
0.14,S010,B,30.0
0.14,S010,C,80.0
0.14,S011,A,25.0
0.14,S011,B,30.0
0.14,S011,C,80.0
0.14,S012,A,25.0
0.14,S012,B,30.0
0.14,S012,C,74.6006107609719
0.14,S013,A,25.0
0.14,S013,B,30.0
0.14,S013,C,80.0
0.14,S014,A,25.0
0.14,S014,B,30.0
0.14,S014,C,80.0
0.14,S015,A,25.0
0.14,S015,B,30.0
0.14,S015,C,80.0
0.15,S001,A,25.0
0.15,S001,B,30.0
0.15,S001,C,80.0
0.15,S002,A,25.0
0.15,S002,B,30.0
0.15,S002,C,74.24119049683213
0.15,S003,A,25.0
0.15,S003,B,30.0
0.15,S003,C,73.75234399922192
0.15,S004,A,25.0
0.15,S004,B,30.0
0.15,S004,C,69.91334568709135
0.15,S005,A,25.0
0.15,S005,B,30.0
0.15,S005,C,80.0
0.15,S006,A,25.0
0.15,S006,B,30.0
0.15,S006,C,80.0
0.15,S007,A,25.0
0.15,S007,B,30.0
0.15,S007,C,80.0
0.15,S008,A,25.0
0.15,S008,B,30.0
0.15,S008,C,65.90262291021645
0.15,S009,A,25.0
0.15,S009,B,30.0
0.15,S009,C,80.0
0.15,S010,A,25.0
0.15,S010,B,30.0
0.15,S010,C,80.0
0.15,S011,A,25.0
0.15,S011,B,30.0
0.15,S011,C,80.0
0.15,S012,A,25.0
0.15,S012,B,30.0
0.15,S012,C,73.63526489585638
0.15,S013,A,25.0
0.15,S013,B,30.0
0.15,S013,C,80.0
0.15,S014,A,25.0
0.15,S014,B,30.0
0.15,S014,C,80.0
0.15,S015,A,25.0
0.15,S015,B,30.0
0.15,S015,C,80.0
0.16,S001,A,25.0
0.16,S001,B,30.0
0.16,S001,C,80.0
0.16,S002,A,25.0
0.16,S002,B,30.0
0.16,S002,C,73.2582691591233
0.16,S003,A,25.0
0.16,S003,B,30.0
0.16,S003,C,72.7398930862546
0.16,S004,A,25.0
0.16,S004,B,30.0
0.16,S004,C,68.78386406227946
0.16,S005,A,25.0
0.16,S005,B,30.0
0.16,S005,C,80.0
0.16,S006,A,25.0
0.16,S006,B,30.0
0.16,S006,C,80.0
0.16,S007,A,25.0
0.16,S007,B,30.0
0.16,S007,C,80.0
0.16,S008,A,25.0
0.16,S008,B,30.0
0.16,S008,C,64.63770086877048
0.16,S009,A,25.0
0.16,S009,B,30.0
0.16,S009,C,80.0
0.16,S010,A,25.0
0.16,S010,B,30.0
0.16,S010,C,80.0
0.16,S011,A,25.0
0.16,S011,B,30.0
0.16,S011,C,80.0
0.16,S012,A,25.0
0.16,S012,B,30.0
0.16,S012,C,72.62796674855053
0.16,S013,A,25.0
0.16,S013,B,30.0
0.16,S013,C,80.0
0.16,S014,A,25.0
0.16,S014,B,30.0
0.16,S014,C,80.0
0.16,S015,A,25.0
0.16,S015,B,30.0
0.16,S015,C,80.0
