rho,area,model,max_safe_kg
0.45,S004,B,
0.45,S004,C,
0.45,S005,A,25.0
0.45,S005,B,30.0
0.45,S005,C,63.9120109193027
0.45,S006,A,25.0
0.45,S006,B,30.0
0.45,S006,C,80.0
0.45,S007,A,25.0
0.45,S007,B,30.0
0.45,S007,C,75.39940272457898
0.45,S008,A,
0.45,S008,B,
0.45,S008,C,
0.45,S009,A,25.0
0.45,S009,B,27.615886142011732
0.45,S009,C,55.530339907854795
0.45,S010,A,25.0
0.45,S010,B,30.0
0.45,S010,C,72.30745734646916
0.45,S011,A,25.0
0.45,S011,B,30.0
0.45,S011,C,80.0
0.45,S012,A,
0.45,S012,B,
0.45,S012,C,
0.45,S013,A,25.0
0.45,S013,B,30.0
0.45,S013,C,71.75389369949698
0.45,S014,A,25.0
0.45,S014,B,26.598139805719256
0.45,S014,C,56.36876640841365
0.45,S015,A,17.19459340092726
0.45,S015,B,21.894838779699057
0.45,S015,C,42.50765098258853
0.46,S001,A,25.0
0.46,S001,B,30.0
0.46,S001,C,80.0
0.46,S002,A,
0.46,S002,B,
0.46,S002,C,
0.46,S003,A,
0.46,S003,B,
0.46,S003,C,
0.46,S004,A,
0.46,S004,B,
0.46,S004,C,
0.46,S005,A,25.0
0.46,S005,B,29.629820440895855
0.46,S005,C,61.806426951661706
0.46,S006,A,25.0
0.46,S006,B,30.0
0.46,S006,C,80.0
0.46,S007,A,25.0
0.46,S007,B,30.0
0.46,S007,C,73.88502008281648
0.46,S008,A,
0.46,S008,B,
0.46,S008,C,
0.46,S009,A,25.0
0.46,S009,B,26.671230546198785
0.46,S009,C,52.90306021459401
0.46,S010,A,25.0
0.46,S010,B,30.0
0.46,S010,C,70.65605434589088
0.46,S011,A,25.0
0.46,S011,B,30.0
0.46,S011,C,80.0
0.46,S012,A,
0.46,S012,B,
0.46,S012,C,
0.46,S013,A,25.0
0.46,S013,B,30.0
0.46,S013,C,70.0812671892345
0.46,S014,A,25.0
0.46,S014,B,25.547431223094463
0.46,S014,C,53.780118050053716
0.46,S015,A,14.05310636619106
0.46,S015,B,20.541798539925367
0.46,S015,C,38.914816649630666
0.47,S001,A,25.0
0.47,S001,B,30.0
0.47,S001,C,80.0
0.47,S002,A,
0.47,S002,B,
0.47,S002,C,
0.47,S003,A,
0.47,S003,B,
0.47,S003,C,
0.47,S004,A,
0.47,S004,B,
0.47,S004,C,
0.47,S005,A,25.0
0.47,S005,B,28.77574964426458
0.47,S005,C,59.53160600736737
0.47,S006,A,25.0
0.47,S006,B,30.0
0.47,S006,C,80.0
0.47,S007,A,25.0
0.47,S007,B,30.0
0.47,S007,C,72.26597411558032
0.47,S008,A,
0.47,S008,B,
0.47,S008,C,
0.47,S009,A,24.90670380066149
0.47,S009,B,25.648753743153065
0.47,S009,C,50.0356312841177
0.47,S010,A,25.0
0.47,S010,B,30.0
0.47,S010,C,68.8867247197777
0.47,S011,A,25.0
0.47,S011,B,30.0
0.47,S011,C,80.0
0.47,S012,A,
0.47,S012,B,
0.47,S012,C,
0.47,S013,A,25.0
0.47,S013,B,30.0
0.47,S013,C,68.28850162215531
0.47,S014,A,22.870693617733195
0.47,S014,B,24.406304515432566
0.47,S014,C,50.96637179143727
0.47,S015,A,10.342912620399147
0.47,S015,B,19.05391360167414
0.47,S015,C,34.92442285642028
0.48,S001,A,25.0
0.48,S001,B,30.0
0.48,S001,C,80.0
0.48,S002,A,
0.48,S002,B,
0.48,S002,C,
0.48,S003,A,
0.48,S003,B,
0.48,S003,C,
0.48,S004,A,
0.48,S004,B,
0.48,S004,C,
0.48,S005,A,25.0
0.48,S005,B,27.853816773276776
0.48,S005,C,57.06459362991154
0.48,S006,A,25.0
0.48,S006,B,30.0
0.48,S006,C,80.0
0.48,S007,A,25.0
0.48,S007,B,30.0
0.48,S007,C,70.5308676045388
0.48,S008,A,
0.48,S008,B,
0.48,S008,C,
0.48,S009,A,22.498546133283526
0.48,S009,B,24.53751598019153
0.48,S009,C,46.888153003528714
0.48,S010,A,25.0
0.48,S010,B,30.0
0.48,S010,C,66.98598087765276
0.48,S011,A,25.0
0.48,S011,B,30.0
0.48,S011,C,80.0
0.48,S012,A,
0.48,S012,B,
0.48,S012,C,
0.48,S013,A,25.0
0.48,S013,B,30.0
0.48,S013,C,66.36170173063874
0.48,S014,A,20.25163159123622
0.48,S014,B,23.161677634343505
0.48,S014,C,47.89367743767798
0.48,S015,A,5.642500362591818
0.48,S015,B,17.405828246846795
0.48,S015,C,30.442033987492323
0.49,S001,A,25.0
0.49,S001,B,30.0
0.49,S001,C,80.0
0.49,S002,A,
0.49,S002,B,
0.49,S002,C,
0.49,S003,A,
0.49,S003,B,
0.49,S003,C,
0.49,S004,A,
0.49,S004,B,
0.49,S004,C,
0.49,S005,A,25.0
0.49,S005,B,26.855086230207235
0.49,S005,C,54.37756075523794
0.49,S006,A,25.0
0.49,S006,B,30.0
0.49,S006,C,80.0
0.49,S007,A,25.0
0.49,S007,B,30.0
0.49,S007,C,68.66653330624104
0.49,S008,A,
0.49,S008,B,
0.49,S008,C,
0.49,S009,A,19.775464478880167
0.49,S009,B,23.32414094125852
0.49,S009,C,43.40925297699869
0.49,S010,A,25.0
0.49,S010,B,30.0
0.49,S010,C,64.93808655999601
0.49,S011,A,25.0
0.49,S011,B,30.0
0.49,S011,C,80.0
0.49,S012,A,
0.49,S012,B,
0.49,S012,C,
0.49,S013,A,25.0
0.49,S013,B,30.0
0.49,S013,C,64.28461496718228
0.49,S014,A,17.28541493648663
0.49,S014,B,21.797454776242375
0.49,S014,C,44.51967383734882
0.49,S015,A,
0.49,S015,B,15.56323425611481
0.49,S015,C,25.323574161157012
0.5,S001,A,25.0
0.5,S001,B,30.0
0.5,S001,C,80.0
0.5,S002,A,
0.5,S002,B,
0.5,S002,C,
0.5,S003,A,
0.5,S003,B,
0.5,S003,C,
0.5,S004,A,
0.5,S004,B,
0.5,S004,C,
0.5,S005,A,25.0
0.5,S005,B,25.768830869346857
0.5,S005,C,51.43622290343046
0.5,S006,A,25.0
0.5,S006,B,30.0
0.5,S006,C,80.0
0.5,S007,A,25.0
0.5,S007,B,30.0
0.5,S007,C,66.65765730664134
0.5,S008,A,
0.5,S008,B,
0.5,S008,C,
0.5,S009,A,16.64003522018902
0.5,S009,B,21.99197863927111
0.5,S009,C,39.53051130287349
0.5,S010,A,25.0
0.5,S010,B,29.758066835347563
0.5,S010,C,62.72452934645116
0.5,S011,A,25.0
0.5,S011,B,30.0
0.5,S011,C,80.0
0.5,S012,A,
0.5,S012,B,
0.5,S012,C,
0.5,S013,A,25.0
0.5,S013,B,29.686964980792254
0.5,S013,C,62.03806542791426
0.5,S014,A,13.858079450437799
0.5,S014,B,20.293423023540527
0.5,S014,C,40.789902256801724
0.5,S015,A,
0.5,S015,B,13.47699117148295
0.5,S015,C,19.31908432394266
